step K U E temp
0 1.310444e-22 -4.014551e-20 -4.001446e-20 1.898301e+01
1000 1.379475e-21 -4.052708e-20 -3.914761e-20 1.998299e+02
2000 7.624510e-22 -3.948537e-20 -3.872292e-20 1.104482e+02
3000 2.600046e-22 -4.060833e-20 -4.034833e-20 3.766411e+01
4000 2.489526e-21 -4.066439e-20 -3.817487e-20 3.606312e+02
5000 1.404231e-21 -4.066757e-20 -3.926334e-20 2.034161e+02
6000 6.631946e-21 -4.107719e-20 -3.444525e-20 9.606998e+02
7000 1.239737e-20 -3.479070e-20 -2.239333e-20 1.795876e+03
8000 1.004228e-22 -4.097796e-20 -4.087753e-20 1.454718e+01
9000 6.997687e-22 -3.954873e-20 -3.884896e-20 1.013681e+02
10000 2.041022e-22 -3.649674e-20 -3.629263e-20 2.956613e+01
11000 7.532659e-22 -3.962884e-20 -3.887557e-20 1.091177e+02
12000 4.963143e-21 -3.965819e-20 -3.469505e-20 7.189579e+02
13000 1.115203e-21 -3.384771e-20 -3.273250e-20 1.615476e+02
14000 6.340329e-22 -3.337211e-20 -3.273807e-20 9.184563e+01
15000 8.855143e-23 -3.803389e-20 -3.794534e-20 1.282751e+01
16000 6.007652e-21 -4.102748e-20 -3.501982e-20 8.702650e+02
17000 4.063531e-23 -3.934635e-20 -3.930572e-20 5.886407e+00
18000 1.126670e-22 -3.362639e-20 -3.351372e-20 1.632088e+01
19000 2.609604e-21 -4.107903e-20 -3.846942e-20 3.780257e+02
20000 9.224315e-21 -3.999655e-20 -3.077223e-20 1.336229e+03
21000 6.247515e-23 -3.889609e-20 -3.883362e-20 9.050114e+00
22000 4.132482e-21 -4.109764e-20 -3.696516e-20 5.986288e+02
23000 1.277624e-22 -4.106704e-20 -4.093928e-20 1.850759e+01
24000 2.769697e-22 -4.096351e-20 -4.068654e-20 4.012167e+01
25000 2.062172e-20 -4.056096e-20 -1.993924e-20 2.987250e+03
26000 4.161420e-21 -3.824526e-20 -3.408384e-20 6.028208e+02
27000 6.568548e-21 -3.500002e-20 -2.843147e-20 9.515159e+02
28000 3.251520e-22 -4.063425e-20 -4.030910e-20 4.710133e+01
29000 2.390193e-21 -4.076650e-20 -3.837630e-20 3.462419e+02
30000 1.800510e-21 -4.106013e-20 -3.925962e-20 2.608209e+02
31000 1.547497e-24 -3.607832e-20 -3.607677e-20 2.241695e-01
32000 2.547421e-21 -3.867652e-20 -3.612910e-20 3.690179e+02
33000 2.921053e-23 -3.930939e-20 -3.928018e-20 4.231421e+00
34000 3.588468e-22 -3.982157e-20 -3.946273e-20 5.198234e+01
35000 4.118143e-22 -4.089324e-20 -4.048142e-20 5.965517e+01
36000 8.847446e-21 -4.052925e-20 -3.168180e-20 1.281636e+03
37000 5.978711e-22 -3.981071e-20 -3.921284e-20 8.660725e+01
38000 5.943057e-24 -4.096239e-20 -4.095645e-20 8.609077e-01
39000 4.812078e-22 -4.107140e-20 -4.059019e-20 6.970748e+01
40000 5.110129e-21 -4.107173e-20 -3.596160e-20 7.402503e+02
41000 5.331764e-23 -3.684326e-20 -3.678995e-20 7.723562e+00
42000 2.977150e-22 -3.938563e-20 -3.908791e-20 4.312682e+01
43000 3.192524e-24 -3.897363e-20 -3.897044e-20 4.624671e-01
44000 1.219466e-24 -4.100435e-20 -4.100313e-20 1.766511e-01
45000 7.528252e-23 -4.105643e-20 -4.098115e-20 1.090538e+01
46000 1.096809e-21 -4.067001e-20 -3.957321e-20 1.588831e+02
47000 4.020461e-23 -4.097863e-20 -4.093843e-20 5.824017e+00
48000 3.202421e-22 -3.691892e-20 -3.659867e-20 4.639008e+01
49000 5.410438e-23 -3.388517e-20 -3.383107e-20 7.837528e+00
50000 3.881287e-22 -4.020920e-20 -3.982107e-20 5.622409e+01
51000 2.529294e-21 -4.096732e-20 -3.843803e-20 3.663920e+02
52000 5.643761e-21 -3.737545e-20 -3.173169e-20 8.175520e+02
53000 1.876394e-21 -3.963661e-20 -3.776022e-20 2.718133e+02
54000 1.959124e-21 -4.052915e-20 -3.857003e-20 2.837975e+02
55000 4.739302e-22 -3.906219e-20 -3.858826e-20 6.865325e+01
56000 2.069388e-22 -4.042446e-20 -4.021752e-20 2.997703e+01
57000 5.234892e-21 -3.962540e-20 -3.439051e-20 7.583234e+02
58000 3.326241e-22 -3.928112e-20 -3.894850e-20 4.818373e+01
59000 3.061295e-22 -4.082780e-20 -4.052167e-20 4.434573e+01
60000 6.107521e-21 -4.051642e-20 -3.440890e-20 8.847319e+02
61000 3.694108e-21 -4.097724e-20 -3.728313e-20 5.351263e+02
62000 9.122294e-22 -4.027089e-20 -3.935866e-20 1.321450e+02
63000 1.332769e-21 -3.950026e-20 -3.816749e-20 1.930642e+02
64000 4.674171e-22 -4.103653e-20 -4.056911e-20 6.770976e+01
65000 2.094490e-21 -4.077716e-20 -3.868267e-20 3.034066e+02
66000 1.374408e-21 -3.847761e-20 -3.710320e-20 1.990959e+02
67000 7.317710e-22 -3.847930e-20 -3.774753e-20 1.060039e+02
68000 7.119763e-21 -3.960772e-20 -3.248796e-20 1.031365e+03
69000 1.260138e-23 -4.044993e-20 -4.043733e-20 1.825429e+00
70000 1.001707e-21 -3.753876e-20 -3.653705e-20 1.451067e+02
71000 7.334139e-21 -4.046218e-20 -3.312804e-20 1.062419e+03
72000 2.461936e-23 -4.050347e-20 -4.047885e-20 3.566347e+00
73000 3.264935e-21 -4.035063e-20 -3.708569e-20 4.729566e+02
74000 5.613892e-21 -4.089550e-20 -3.528161e-20 8.132251e+02
75000 3.716025e-21 -4.106335e-20 -3.734733e-20 5.383012e+02
76000 4.716211e-22 -3.926043e-20 -3.878881e-20 6.831875e+01
77000 7.326133e-21 -3.665290e-20 -2.932676e-20 1.061259e+03
78000 7.967488e-22 -3.995721e-20 -3.916046e-20 1.154166e+02
