pX pY pZ 
-1.794898e-13 0.000000e+00 0.000000e+00
5.462235e-14 0.000000e+00 0.000000e+00
2.748127e-14 0.000000e+00 0.000000e+00
-3.043442e-13 0.000000e+00 0.000000e+00
1.529585e-13 0.000000e+00 0.000000e+00
-1.708300e-13 0.000000e+00 0.000000e+00
1.605852e-13 0.000000e+00 0.000000e+00
7.494745e-14 0.000000e+00 0.000000e+00
1.843183e-13 0.000000e+00 0.000000e+00
-3.563934e-13 0.000000e+00 0.000000e+00
-1.658133e-15 0.000000e+00 0.000000e+00
6.028015e-15 0.000000e+00 0.000000e+00
-4.426909e-14 0.000000e+00 0.000000e+00
-1.351681e-13 0.000000e+00 0.000000e+00
1.146306e-13 0.000000e+00 0.000000e+00
-5.746911e-14 0.000000e+00 0.000000e+00
2.231705e-13 0.000000e+00 0.000000e+00
5.354327e-14 0.000000e+00 0.000000e+00
4.635345e-13 0.000000e+00 0.000000e+00
5.516212e-14 0.000000e+00 0.000000e+00
2.383428e-13 0.000000e+00 0.000000e+00
-5.639246e-14 0.000000e+00 0.000000e+00
-1.269927e-13 0.000000e+00 0.000000e+00
-2.215109e-13 0.000000e+00 0.000000e+00
9.415634e-14 0.000000e+00 0.000000e+00
-1.094222e-13 0.000000e+00 0.000000e+00
-3.160529e-13 0.000000e+00 0.000000e+00
-1.052396e-13 0.000000e+00 0.000000e+00
-4.275145e-13 0.000000e+00 0.000000e+00
-7.160464e-14 0.000000e+00 0.000000e+00
2.429547e-13 0.000000e+00 0.000000e+00
5.551122e-14 0.000000e+00 0.000000e+00
-8.715077e-14 0.000000e+00 0.000000e+00
-2.797001e-13 0.000000e+00 0.000000e+00
-4.237348e-14 0.000000e+00 0.000000e+00
-3.084583e-15 0.000000e+00 0.000000e+00
-1.518922e-13 0.000000e+00 0.000000e+00
-6.963923e-14 0.000000e+00 0.000000e+00
2.541872e-13 0.000000e+00 0.000000e+00
-6.843445e-14 0.000000e+00 0.000000e+00
6.506264e-14 0.000000e+00 0.000000e+00
2.482499e-14 0.000000e+00 0.000000e+00
3.371989e-13 0.000000e+00 0.000000e+00
1.667700e-13 0.000000e+00 0.000000e+00
2.322734e-13 0.000000e+00 0.000000e+00
1.133786e-13 0.000000e+00 0.000000e+00
4.097683e-14 0.000000e+00 0.000000e+00
-8.090140e-14 0.000000e+00 0.000000e+00
-2.415062e-13 0.000000e+00 0.000000e+00
2.094403e-13 0.000000e+00 0.000000e+00
1.922939e-13 0.000000e+00 0.000000e+00
5.506275e-14 0.000000e+00 0.000000e+00
3.346163e-13 0.000000e+00 0.000000e+00
-3.853278e-14 0.000000e+00 0.000000e+00
1.544597e-13 0.000000e+00 0.000000e+00
1.503989e-13 0.000000e+00 0.000000e+00
2.104631e-14 0.000000e+00 0.000000e+00
5.184563e-14 0.000000e+00 0.000000e+00
-4.078092e-13 0.000000e+00 0.000000e+00
-2.852828e-14 0.000000e+00 0.000000e+00
3.283972e-14 0.000000e+00 0.000000e+00
-1.532918e-14 0.000000e+00 0.000000e+00
1.167035e-14 0.000000e+00 0.000000e+00
2.717159e-13 0.000000e+00 0.000000e+00
-1.178559e-13 0.000000e+00 0.000000e+00
-3.475484e-13 0.000000e+00 0.000000e+00
-2.224854e-14 0.000000e+00 0.000000e+00
-8.427167e-14 0.000000e+00 0.000000e+00
-1.307162e-13 0.000000e+00 0.000000e+00
1.043332e-13 0.000000e+00 0.000000e+00
1.109683e-13 0.000000e+00 0.000000e+00
-8.738665e-14 0.000000e+00 0.000000e+00
-2.716299e-14 0.000000e+00 0.000000e+00
9.927049e-15 0.000000e+00 0.000000e+00
-1.331044e-13 0.000000e+00 0.000000e+00
-4.637647e-15 0.000000e+00 0.000000e+00
1.674697e-13 0.000000e+00 0.000000e+00
7.975106e-15 0.000000e+00 0.000000e+00
-2.902755e-13 0.000000e+00 0.000000e+00
2.441718e-13 0.000000e+00 0.000000e+00
2.314242e-13 0.000000e+00 0.000000e+00
2.002181e-13 0.000000e+00 0.000000e+00
-1.166106e-13 0.000000e+00 0.000000e+00
-9.001181e-14 0.000000e+00 0.000000e+00
-2.253127e-13 0.000000e+00 0.000000e+00
-1.066188e-13 0.000000e+00 0.000000e+00
5.183148e-14 0.000000e+00 0.000000e+00
3.193801e-14 0.000000e+00 0.000000e+00
-5.456229e-14 0.000000e+00 0.000000e+00
3.774322e-14 0.000000e+00 0.000000e+00
-1.506971e-13 0.000000e+00 0.000000e+00
-9.500257e-14 0.000000e+00 0.000000e+00
5.489275e-14 0.000000e+00 0.000000e+00
1.524971e-13 0.000000e+00 0.000000e+00
6.452270e-14 0.000000e+00 0.000000e+00
-8.137114e-14 0.000000e+00 0.000000e+00
2.139902e-14 0.000000e+00 0.000000e+00
1.796200e-13 0.000000e+00 0.000000e+00
-1.881333e-13 0.000000e+00 0.000000e+00
-1.358048e-13 0.000000e+00 0.000000e+00
1.180019e-14 0.000000e+00 0.000000e+00
1.039059e-13 0.000000e+00 0.000000e+00
-5.990532e-14 0.000000e+00 0.000000e+00
-3.698005e-14 0.000000e+00 0.000000e+00
1.462646e-13 0.000000e+00 0.000000e+00
2.504578e-13 0.000000e+00 0.000000e+00
-2.878697e-14 0.000000e+00 0.000000e+00
8.980778e-14 0.000000e+00 0.000000e+00
-2.259914e-13 0.000000e+00 0.000000e+00
-1.776245e-13 0.000000e+00 0.000000e+00
-3.809930e-14 0.000000e+00 0.000000e+00
1.520349e-13 0.000000e+00 0.000000e+00
